State,IHE_Name,Program_Title,Program_Type,Level_of_Degree,Format,Alternate_Route_to_Certification,Category_of_Credentialing,URL_for_Program
Colorado,University of Denver,Graduate Certificate in Early Childhood Special Education,ECSE,Graduate Certificate,Online,No,ECSE,https://morgridge.du.edu/academic-programs/early-childhood-special-education/graduate-certificate
Colorado,University of Denver,Master of Arts in Early Childhood Special Education,ECSE,Masters,Online,No,ECSE,https://morgridge.du.edu/academic-programs/early-childhood-special-education/ma
Colorado,University of Northern Colorado,Early Childhood Special Education Endorsement (Ages 0-8 yrs),ECSE,No Degree,In Person,No,ECSE,https://extended.unco.edu/programs/special-education-early-childhood-masters-endorsement/
Colorado,University of Northern Colorado,Special Education M.A. – Early Childhood Special Education Concentration,ECSE,Masters,In Person,No,ECSE,https://unco.smartcatalogiq.com/Current/Graduate-Catalog/Graduate-Programs/Masters-Degrees/Special-Education-MA-Early-Childhood-Special-Education-Concentration
Connecticut,Charter Oak State College,Alternate Route to Certification in Early Childhood Education (Birth to 5),Blended,No Degree,Hybrid,Yes,Blended,https://www.charteroak.edu/certificates/ece_arc.php
Connecticut,Eastern Connecticut State University,"BS in Early Childhood Education & Certification (CT 113, Integrated Early Childhood/Special Ed., N - K - Elem. 1 – 3)",Blended,Bachelors,In Person,No,Blended,https://www.easternct.edu/programs/early-childhood-education.html
Connecticut,Eastern Connecticut State University,MS in Early Childhood Education & Certification (Grades prek/N-3),Blended,Masters,Hybrid,No,Blended,https://www.easternct.edu/graduate-division/programs-of-study/education-ms-new.html
Connecticut,Mitchell College,B.S. Early Childhood Studies with a concentration in Early Childhood Education leading towards Teacher Certification,Blended,Bachelors,In Person,No,Blended,https://mitchell.edu/academic-programs/early-childhood-education/
Connecticut,Southern Connecticut State University,"B.S. Early Childhood Education + Psychology,  Child, Family and Community Studies concentration",Blended,Bachelors,In Person,No,Blended,TWO: http://catalog.southernct.edu/undergraduate/programs-and-degrees/early-childhood-education-bs.html   AND    https://www.southernct.edu/program/early-childhood-education-bs
Connecticut,Southern Connecticut State University,Early Childhood Education MAT,Blended,Masters,In Person,No,Blended,TWO: http://catalog.southernct.edu/graduate/programs-and-degrees/master-of-arts-in-teaching-early-childhood.html   AND      https://www.southernct.edu/program/teaching-mat-early-childhood-education
Connecticut,University of Hartford,"BS in Early Childhood Education - certification, Birth to K endorsement",Blended,Bachelors,In Person,No,Blended,https://www.hartford.edu/academics/schools-colleges/enhp/academics/department-of-education/bs-in-early-childhood-education.aspx
Connecticut,University of Hartford,"BS in Early Childhood Education - certification, PreK to Grade 3 endorsement",Blended,Bachelors,In Person,No,Blended,https://www.hartford.edu/academics/schools-colleges/enhp/academics/department-of-education/bs-in-early-childhood-education.aspx
Connecticut,University of Hartford,"MEd in Early Childhood Education - certification, Birth to K endorsement #112 CT Certification",Blended,Masters,In Person,No,Blended,https://catalog.hartford.edu/preview_program.php?catoid=30&poid=7165&hl=Early+Childhood+Education+Leading+to+Certification&returnto=search
Connecticut,University of Hartford,"MEd in Early Childhood Education - certification, Nursery to Grade 3 endorsement",Blended,Masters,In Person,No,Blended,https://catalog.hartford.edu/preview_program.php?catoid=30&poid=7165&hl=Early+Childhood+Education+Leading+to+Certification&returnto=search
Connecticut,University of Hartford,"Early Childhood Education, M.Ed.",Blended,Masters,In Person,No,Blended,https://www.hartford.edu/academics/schools-colleges/enhp/academics/department-of-education/med-in-early-childhood-elementary.aspx#
Connecticut,University of Saint Joseph,"Early Childhood Education/Special Education, M.A.T.",Blended,Masters,Hybrid,No,Blended,https://www.usj.edu/academics/sasbe/education/early-childhood-ed-special-ed-mat/
Connecticut,University of Saint Joseph,"Early Childhood/Special Education, M.A.",Blended,Masters,In Person,No,Blended,https://www.usj.edu/academics/sasbe/education/early-childhood-education-special-education-ma/
Delaware,University of Delaware,4+1 B.S./M.S. HDFS: Early Childhood Development and Inclusive Education,Blended,Integrated Bachelors/Masters,In Person,No,Dual,https://www.hdfs.udel.edu/4plus1ece/
Delaware,University of Delaware,EARLY CHILDHOOD DEVELOPMENT AND INCLUSIVE EDUCATION CONCENTRATION (MS),Blended,Masters,In Person,No,Dual,https://www.hdfs.udel.edu/ms-program/#concentrations
Delaware,Wilmington University,"Early Care and Education (Birth-Grade 2), Bachelor of Science",Blended,Bachelors,"Hybrid, In Person, or Online",No,Dual,https://www.wilmu.edu/education/early-care-education-birth-grade2-curriculum.aspx
Delaware,Wilmington University,Special Education Instruction Early Childhood/Exceptional Children Concentration MeD,ECSE,Masters,"Hybrid, In Person, or Online",No,ECSE,https://www.wilmu.edu/education/special-education-instruction-master-curriculum.aspx
Delaware,Wilmington University,Special Education Teacher of Students with Disabilities Early Childhood/Exceptional Children Concentration MSE,ECSE,Masters,In Person or Online ,No,ECSE,see both https://www.wilmu.edu/education/special-education.aspx#intro AND https://www.wilmu.edu/education/special-education-teacher-for-students-with-disabilities-master-curriculum.aspx
Delaware,Wilmington University,Special Education/Early Childhood Exceptional Children Certificate,ECSE,Graduate Certificate,"Hybrid, In Person, or Online",No,No license,https://www.wilmu.edu/education/early-childhood-exceptional-children-certificate-curriculm.aspx
District of Columbia,Georgetown University,Certificate in Early Intervention,ECSE,Post Bac. Certificate,Hybrid,No,No license,https://scs.georgetown.edu/programs/378/certificate-in-early-intervention/
District of Columbia,The George Washington University,Master's in Early Childhood Special Education,Blended,Masters,In Person,No,Dual,https://gsehd.gwu.edu/masters-ecse
Florida,Broward College,Prekindergarten Disabilities Endorsement,ECSE,No Degree,Online,No,ECSE,https://www.broward.edu/academics/education/endorsements/
Florida,College of Central Florida,"B.S. Early Childhood Education, English for Speakers of Other Languages (ESOL) endorsement (K-12)",Blended,Bachelors,In Person,No,Dual,https://www.cf.edu/academics/areas-of-study/teacher-education/bachelor-of-science-in-early-childhood-education/
Florida,Florida Atlantic University,INFANT TODDLER DEVELOPMENTAL SPECIALIST,ECSE,Graduate Certificate,In Person,No,No license,https://www.fau.edu/education/academicdepartments/ese/non-degree/infant-toddler-developmental-specialist/
Florida,Florida Atlantic University,MA SpEd Concentration in ECE + Infant/Toddler,ECSE,Masters,In Person,No,No license,https://www.fau.edu/registrar/university-catalog/catalog/education/#exmas
Florida,Florida Atlantic University,"MA SpEd, Concentration in ECSE.- PreK Disabilities + Infant/Toddler",ECSE,Masters,In Person,No,ECSE,https://www.fau.edu/registrar/university-catalog/catalog/education/#exmas
Florida,Florida Atlantic University,"Master's in Special Education, Concentration in ECE.- eligibility for Pre-Kindergarten Disabilities Endorsement",ECSE,Masters,In Person,No,ECSE,https://www.fau.edu/education/academicdepartments/ese/non-degree/state-of-florida-teacher-certification-endorsement-prek-grade3/
Florida,Florida Atlantic University,Pre-K State of Florida Teacher Certification Endorsement (PreK-Grade 3),ECSE,No Degree,Hybrid,No,ECSE,https://www.fau.edu/education/academicdepartments/ese/non-degree/state-of-florida-teacher-certification-endorsement-prek-grade3/
Florida,Florida Gulf Coast University,"ECE (B.A.), Prekindergarten/Primary Certification w/ Prekindergarten/Disability endorsement",Dual,Bachelors,In Person,No,Dual,"TWO: 
https://www.fgcu.edu/catalog/academicprograms?id=31
https://www.fgcu.edu/coe/programs/undergraduateprograms/earlychildhoodeducation-ba#ProgramRequirements"
Florida,Florida State University,Special Education M.A. w/ Early Childhood Special Education Specialization Non- Thesis,ECSE,Masters,In Person,No,No license,https://education.fsu.edu/special-education-grad
Florida,Florida State University,Special Education M.A. w/ Early Childhood Special Education Specialization Thesis,ECSE,Masters,In Person,No,No license,https://education.fsu.edu/special-education-grad
Florida,Miami Dade College,B.S. in ECE (B-4 & 3-Grade 3 licensure) w. Pre-K/Primary and Pre-Kindergarten Disabilities Endorsements,Dual,Bachelors,In Person,No,Dual,https://www.mdc.edu/earlychildhood/default.aspx
Florida,University of Central Florida,Graduate Certificate in Prekindergarten (Pre-K) Disabilities,ECSE,Graduate Certificate,Online,No,ECSE,https://www.ucf.edu/degree/prekindergarten-disabilities-certificate/
Florida,University of Florida,Unified Early Childhood Education Program BAE/MED,Blended,Integrated Bachelors/Masters,In Person,No,Dual,"three 
https://education.ufl.edu/early-childhood/bachelors/#toggle-id-5

https://catalog.ufl.edu/UGRD/

https://education.ufl.edu/early-childhood/files/2021/09/Early-Childhood-Studies-Handout.2018-1.pdf"
Georgia,Georgia Southern University,"Human Development and Family Science - Concentration in Birth Through Kindergarten (Certification Track), B.S. [Birth-Kindergarten Teacher Education]",Blended,Bachelors,In Person,No,Blended,https://catalog.georgiasouthern.edu/preview_program.php?catoid=6&poid=2270&hl=%22Human+Development+and+Family+Science+-+Concentration+in+Birth+Through+Kindergarten%22&returnto=search
Georgia,Georgia Southern University,"Human Development and Family Science - Concentration in Birth-Kindergarten (Non-Certification Track), B.S.",Blended,Bachelors,In Person,No,No license,https://catalog.georgiasouthern.edu/preview_program.php?catoid=6&poid=2271&hl=%22Human+Development+and+Family+Science+-+Concentration+in+Birth-Kindergarten+%28Non-Certification+Track%29%2C+%22&returnto=search
Georgia,Georgia State University,Special Education Preschool Endorsement,ECSE,No Degree,In Person,No,ECSE,https://www.gsu.edu/program/endorsements-special-education/
Georgia,Georgia State University,"Birth Through Five, B.S.Ed. Cert with Pre-School Special Education Endorsement (3-5)",Blended,Bachelors,In Person or Online ,No,Blended and ECSE,https://catalogs.gsu.edu/preview_program.php?catoid=25&poid=6919&hl=%22birth+to+five%22&returnto=search
Georgia,Georgia State University,"Birth Through Five, B.S.Ed. Non-cert with Pre-School Special Education Endorsement (3-5)",Blended,Bachelors,In Person or Online ,No,ECSE,https://catalogs.gsu.edu/preview_program.php?catoid=25&poid=6919&hl=%22birth+to+five%22&returnto=search
